component,description,props,example
button,Clickable button component,"text, fill, cornerRadius, fontSize, fontFamily, textColor, stroke, strokeWidth, width, height","button"
input,Text input field,"placeholder, width, height, fill, stroke, strokeWidth, cornerRadius, fontSize, fontFamily, textColor","input"
text,Text content,"text, fontSize, fontFamily, fontWeight, fontStyle, textDecoration, align, lineHeight, fill, width","text"
image,Image placeholder,"src, width, height, fill, stroke, strokeWidth, cornerRadius, imageData","image"
rectangle,Rectangle shape,"width, height, fill, stroke, strokeWidth, cornerRadius, fontSize, fontFamily, text, textColor","rectangle"
circle,Circle shape,"radius, fill, stroke, strokeWidth, fontSize, fontFamily, textColor","circle"
line,Line segment,"points, stroke, strokeWidth","line"
dynamicPanel,Multi-state dynamic container,"width, height, fill, stroke, strokeWidth, cornerRadius, opacity","dynamic panel"
switch,Toggle switch control,"width, height, fill, fillOff, knobColor, cornerRadius, checked","switch"
checkbox,Checkbox control,"width, height, fill, stroke, strokeWidth, cornerRadius, checked, checkColor","checkbox"
radio,Radio button control,"radius, fill, stroke, strokeWidth, checked, checkColor","radio"
badge,Badge or notification badge,"width, height, fill, cornerRadius, text, fontSize, textColor","badge"
slider,Slider control,"width, height, fill, barFill, knobColor, knobStroke, cornerRadius, value","slider"
progress,Progress bar component,"width, height, fill, barFill, cornerRadius, value","progress"
divider,Divider line component,"width, height, fill","divider"
avatar,Avatar component,"width, height, fill, cornerRadius, text, fontSize, textColor, imageData","avatar"
icon,Icon with iconPath,"iconPath, stroke, strokeWidth, fill","icon"
